1954,1559
1962,74727
1969,14386
1975,194857
1980,48457
1981,156368
1985,222053
1996,269302
2010,72931
2016,807592
2025,44025
2030,27219
2038,18015
2044,988380
2046,215828
2048,33338
2054,18003
2056,1379692
2066,171557
2075,124574
2076,23311
2078,225878
2086,54310
2089,236875
2092,2253459
2114,1499922
2115,32099
2131,106058
2138,308031
2140,37298
2146,438772
2147,23578
2152,1087161
2154,1422236
2168,156743
2169,553683
2170,1115406
2177,230600
2187,218593
2210,94147
2213,83046
2214,100825
2219,9768
2220,12677
2224,2844917
2228,1083470
2238,98915
2239,4035
2245,193201
2250,13034
2268,381493
2272,86809
2274,3592910
2277,1742712
2278,200811
2279,67803
2283,123960
2285,106745
2287,153002
2300,212834
2305,50901
2310,39041
2311,199773
2314,257356
2327,29573
2339,104925
2351,6297
2354,6871
2361,2914430
2368,37
2375,4596448
2384,285990
2387,549240
2425,40340
2429,12574
2434,88459
2443,36526
2448,42459
2451,17809
2453,20248
2457,39498
2463,356204
2464,36162
2469,97525
2474,153103
2476,63271
2488,1364547
2493,2568293
2494,1774218
2496,1075453
2504,243681
2505,1032331
2510,107445
2514,1806413
2518,10788
2519,39534
2520,2804660
2535,34429
2536,1380846
2542,433466
2543,107197
3323,247374
2568,915107
2577,1231849
2582,1134765
2583,606255
2585,444372
2590,24221
2591,24564
2593,460199
2595,247679
2597,149584
2598,663653
2603,49721
2605,62218
2606,103023
2609,12429
2614,794570
2617,313038
2619,199321
2622,800084
2627,129959
2635,63444
2637,46147
2642,481663
2644,312306
2645,758485
2646,71691
2648,997590
2653,300438
2655,503400
2656,707086
2662,21538
2665,1330390
2667,401079
2679,27489
2680,496202
2683,48569
2730,100850
2688,251582
2696,161469
2697,293338
2701,290914
2702,27343
2706,117940
2707,2583
2712,32863
2720,185025
2726,12437
2727,134130
2729,199546
2892,409395
2732,83501
2737,926659
2748,836622
2759,315669
2774,148567
2779,160297
2812,38766
2815,467356
2820,72063
2828,70714
2836,3423
2838,136903
2839,901597
2843,31522
2844,4526132
2848,506184
2867,7275
2871,213293
2873,102908
2874,45498
2876,507348
2880,114989
2882,417537
2898,14826
2900,391676
2901,72176
2905,106908
2906,115183
2907,25305
2908,227006
2911,1110481
2913,476886
2915,742941
2933,251043
2937,2032667
2938,33019
2942,5235
2947,21035
2948,578426
2951,2635301
2954,278327
2958,54570
2959,2779385
2962,326917
2963,250295
2968,115412
2971,110400
2972,78604
2984,1241600
2990,75756
2992,901854
2993,44191
2994,2123957
2998,143639
2999,422
3467,13706
3023,74663
3029,41518
3036,629635
3045,1898486
3046,247178
3048,249212
3054,531353
3059,608168
3063,2080109
3068,450621
3085,83314
3086,6999
3087,180173
3102,2665
3109,103448
3111,82306
3117,362087
3122,200742
3129,1358028
3154,531587
3163,1026040
3165,797452
3181,75676
3182,182643
3191,9779
3193,323315
3196,43089
3205,177214
3207,6597
3212,1220746
3271,392206
3226,489272
3231,130085
3238,50606
3244,1215847
3245,244567
3250,51710
3265,545035
3285,285587
3289,155916
3314,534085
3333,965999
3335,656187
3340,41011
3344,4946998
3362,921759
3378,1129926
3381,45186
3392,138459
3394,221782
3404,20550
3407,476047
